"","id","crime"
"1","Noite-2014-12-30-Central","ROBBERY"
"2","Manha-2014-12-31-Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"3","Noite-2014-12-30-Central","ROBBERY"
"4","Tarde-2014-12-30-Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"5","Tarde-2014-12-30-Central","SHOPLIFTING - PETTY THEFT ($950 & UNDER)"
"6","Tarde-2014-12-30-Central","THEFT, PERSON"
"7","Manha-2014-12-22-Central","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"8","Madrugada-2014-12-31-Central","BATTERY - SIMPLE ASSAULT"
"9","Madrugada-2014-12-30-Central","BURGLARY FROM VEHICLE"
"10","Tarde-2014-12-29-Central","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"11","Manha-2014-12-31-Central","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
"12","Noite-2014-12-19-Central","BURGLARY"
"13","Noite-2014-12-30-Central","BIKE - STOLEN"
"14","Tarde-2014-12-31-Central","TRESPASSING"
"15","Noite-2014-12-30-Rampart","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"16","Noite-2014-12-30-Rampart","VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
"17","Manha-2014-12-30-Rampart","BURGLARY FROM VEHICLE"
"18","Noite-2014-12-21-Rampart","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"19","Madrugada-2014-12-31-Rampart","ROBBERY"
"20","Noite-2014-12-30-Rampart","VIOLATION OF TEMPORARY RESTRAINING ORDER"
"21","Madrugada-2014-12-30-Rampart","THEFT PLAIN - PETTY ($950 & UNDER)"
"22","Madrugada-2014-12-31-Rampart","BURGLARY FROM VEHICLE"
"23","Manha-2014-12-31-Rampart","BURGLARY"
"24","Manha-2014-12-30-Rampart","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
"25","Tarde-2014-12-31-Rampart","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"26","Tarde-2014-12-31-Rampart","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
"27","Manha-2014-12-31-Rampart","BURGLARY"
"28","Noite-2014-12-30-Rampart","BURGLARY"
"29","Tarde-2014-12-31-Rampart","PURSE SNATCHING"
"30","Noite-2014-12-30-Rampart","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"31","Manha-2014-12-31-Rampart","THEFT PLAIN - PETTY ($950 & UNDER)"
"32","Manha-2014-12-24-Rampart","THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)"
"33","Noite-2014-12-30-Rampart","VANDALISM - MISDEAMEANOR ($399 OR UNDER)"
